input_job_title,minimum_salary,Average_salary,maximum_salary
Director Of Recruiting,$60066,$101540,$171651
Major Gifts Officer,$21960,$65900,$197761
Transformation Coach,$19234,$36172,$68027
General Merchandise Expert,$28622,$36293,$46019
Department Supervisor,$30073,$45327,$68318
Guest Experience Agent,$33161,$44482,$59667
Internet Marketing Coordinator,$29148,$39916,$54662
Department Lead,$30301,$45785,$69182
Associate Technical Consultant,$71472,$106796,$159579
Construction Coordinator,$31022,$49457,$78846
Senior Living Advisor,$63015,$97108,$149646
Business Instructor,$16827,$32110,$61273
Disc Jockey,$23284,$58850,$148742
Sales Expert,$35872,$83421,$193993
Financial Assistant,$41281,$58964,$84222
Communications Technician,$36470,$61122,$102438
Head Manager,$38808,$63689,$104520
Stock Broker,$39006,$79577,$162344
Global Product Manager,$72715,$112202,$173133
Head Of Brand,$72715,$112202,$173133
Affiliate Manager,$42102,$69228,$113833
Accounts Payable Clerk,$28526,$38696,$52491
Operation Supervisor,$35361,$58648,$97272
Program Chair,$110289,$180277,$294679
School Bus Driver,$31020,$44758,$64579
Licensed Real Estate Professional,$44216,$90240,$184168
Head Of Content,$72715,$112202,$173133
Business Sales Representative,$36393,$71876,$141952
Contract Analyst,$21304,$36487,$62491
Graphic Design Assistant,$33736,$55831,$92397
Driver Manager,$62944,$78528,$100454
Technical Associate,$38018,$64479,$109359
Quality Assurance Inspector,$51791,$74639,$107568
Venue Manager,$31120,$42944,$59262
Student Lab Instructor,$16827,$32110,$61273
Senior Treasury Analyst,$77021,$89271,$103470
Student Activities Coordinator,$39012,$53161,$72443
Warehouse Supervisor,$44662,$58609,$76910
Marketing Automation Specialist,$34237,$58372,$99521
Video Production Manager,$40440,$64393,$102532
Client Success Associate,$40842,$70848,$122900
Credit Manager,$47552,$73629,$114004
Customer Experience Analyst,$42355,$62927,$93490
Director Of Technology,$67513,$122938,$223864
"Director, Product Management",$137636,$191027,$270659
Critical Care Registered Nurse,$90337,$127182,$179054
Director Of Nursing,$70217,$98526,$138248
Search Marketing Manager,$46391,$77608,$129830
Procurement Manager,$57134,$88519,$137146
Facilities Operations Manager,$44745,$69861,$109073
Sales & Marketing Specialist,$32738,$60321,$111143
Senior Budget Analyst,$54966,$81838,$121848
Financial Planning Analyst,$51475,$77734,$117387
Senior Key Account Manager,$46415,$88013,$166892
On Premise Manager,$42398,$64710,$98765
Wealth Management Associate,$32809,$67355,$138276
International Account Manager,$35906,$65864,$120816
Rehabilitation Aide,$26970,$34229,$43442
Event Organizer,$35871,$55169,$84849
Human Services Program Specialist,$29734,$46763,$73542
Epic Consultant,$92772,$144259,$224319
Territory Business Manager,$44350,$69816,$109903
Web Administrator,$49697,$75613,$115045
Market Research Manager,$75859,$116787,$193652
Closer,$59057,$92733,$150201
Science Instructor,$16827,$32110,$61273
Global Purchasing Director,$76034,$112721,$167110
Senior Stylist,$38872,$69469,$119843
General Dentist,$132795,$220325,$365550
Medical Office Assistant,$27704,$40281,$58569
Data Abstractor,$48901,$64295,$84536
Associate Systems Engineer,$65495,$103710,$164222
Product Engineering Manager,$74471,$104218,$148358
Technical Operations Manager,$53773,$83511,$129695
Lead Estimator,$85058,$128905,$172372
Senior User Experience Architect,$89168,$120414,$162608
Consulting Manager,$81301,$132308,$215317
Graduate Assistant Basketball Coach,$27100,$48840,$88021
Print Specialist,$27992,$38119,$51911
Business Representative,$37706,$76476,$155109
Newsletter Editor,$36372,$63946,$112423
Print Production Manager,$42287,$64763,$99184
Porter,$35302,$47146,$62964
Technical Media Producer,$37963,$61511,$99665
Field Reimbursement Manager,$35299,$68418,$132610
Merchandise Supervisor,$51284,$70670,$97383
Bellman,$47676,$66807,$93615
Spanish Instructor,$16827,$32110,$61273
Business Planning Analyst,$55366,$84234,$128152
Business Applications Analyst,$53925,$80400,$119871
Molecular Biologist,$51640,$77849,$117360
Biological Scientist,$61253,$94109,$144590
Senior Quality Assurance Analyst,$66356,$96127,$139256
Route Driver,$37301,$50462,$68267
Catering Chef,$32127,$53145,$87915
Culinary Director,$23745,$34041,$48802
Television News Producer,$29774,$50709,$86362
Sorter,$22900,$32061,$44886
Beverage Supervisor,$42180,$60800,$87639
Counseling Intern,$16899,$35061,$103764
Technology Educator,$31879,$63735,$127424
Tax Preparer,$25847,$48163,$89746
International Student Ambassador,$42903,$61446,$88004
Academic Specialist,$39162,$70245,$126000
Revenue Analyst,$44854,$71477,$113902
Director Of Revenue Management,$55713,$89541,$143909
Payroll Supervisor,$54420,$75307,$104210
Global Communications Manager,$44351,$72852,$119668
Optical Technician,$26852,$43969,$71997
Fifth Grade Teacher,$30330,$51295,$86751
Public Health Nurse,$39689,$67400,$114458
Forklift Operator,$31444,$41211,$54012
Creative Designer,$41343,$68817,$114548
Senior Training Specialist,$45192,$60337,$110195
Marketing & Event Coordinator,$39527,$58125,$85474
Senior Logistics Manager,$70304,$100202,$142815
Press Secretary,$21580,$31346,$45531
Director Of Government Relations,$53306,$99247,$184783
Technology Coordinator,$39543,$58081,$85310
Food Stylist,$29094,$55501,$105875
Pastry Assistant,$38697,$59140,$90385
Club Manager,$31902,$54894,$94458
Director Of Media,$96510,$121775,$153654
Executive Creative Director,$60724,$110796,$202155
Project Accountant,$52830,$70483,$94034
Recruiting Intern,$32421,$56768,$99398
Internship Program Manager,$43378,$77229,$137498
Laboratory Analyst,$33274,$51567,$79918
Career Counselor,$32916,$46914,$66863
Lead Toddler Teacher,$35956,$49071,$66334
Tax Intern,$38206,$53671,$75395
Project Management Associate,$55649,$86405,$134160
Social Media Marketer,$28507,$48873,$83788
Client Service Account Manager,$35922,$60091,$100521
Senior Advertising Account Manager,$43167,$84245,$164411
Service Technician,$42833,$65672,$100689
Business Banking Officer,$56096,$92047,$151040
Account Support Analyst,$36318,$50115,$69154
Senior Systems Analyst,$60993,$90193,$133372
Sales Strategist,$35872,$83421,$193993
Private Banker,$21801,$46695,$100014
Direct Sales Executive,$36801,$66638,$120667
Network Director,$53306,$99247,$184783
Real Estate Consultant,$44216,$90240,$184168
Image Specialist,$103408,$136994,$181488
Corporate Strategy Associate,$51184,$82207,$132033
Extended Day Coordinator,$25966,$39683,$60646
Student Success Specialist,$33758,$50027,$74137
Curriculum Specialist,$39162,$70245,$126000
Process Improvement Manager,$63466,$94100,$139521
Process Engineering Manager,$63724,$90252,$127825
Financial Operations Analyst,$42081,$67946,$109708
Service Advocate,$28932,$35380,$43266
Foster Parent,$17061,$35583,$81474
Buying Assistant,$32286,$64248,$127848
Retention Manager,$36419,$61221,$102911
Senior Commercial Manager,$70213,$110354,$173444
Business Executive,$37706,$76476,$155109
Senior Loan Consultant,$61137,$81208,$149069
Mortgage Consultant,$26698,$55530,$115496
Appeals Specialist,$39162,$70245,$126000
Church Planter,$19196,$29271,$44635
Business Operations Lead,$50037,$89234,$159136
Ophthalmic Technician,$33091,$45961,$63837
Communications Supervisor,$44351,$72852,$119668
Staff Development Specialist,$34783,$58232,$97489
News Anchor,$25697,$41061,$65611
Senior Nursing Student,$22567,$46820,$97139
Assistant Chairman,$33053,$79120,$189174
Advertising Administrator,$43708,$74678,$127592
District Administrator,$43708,$74678,$127592
Vendor Manager,$40150,$70165,$122620
Live Sound Engineer,$27462,$52778,$101431
Director Of Client Care,$58184,$93696,$150881
Customer Success Advocate,$40842,$70848,$122900
Packer,$35751,$50095,$70194
Network Engineer,$60879,$93345,$143123
Karate Instructor,$16827,$32110,$61273
General Store Manager,$35766,$54069,$81736
Sales Staff,$35872,$83421,$193993
President Of The Board Of Director,$45568,$88377,$171402
Financial Specialist,$42865,$66868,$104310
Part Time Lecturer,$35759,$57182,$91440
Venture Partner,$37376,$55021,$80996
Payroll Coordinator,$35843,$60111,$100812
Senior Trainer,$36109,$69024,$128996
Distribution Sales Specialist,$28026,$67869,$164351
Training Administrator,$43708,$74678,$127592
Senior Quality Assurance Specialist,$62010,$92876,$139106
Records Administrator,$43708,$74678,$127592
Global Supply Chain Manager,$59409,$91325,$140388
Global Business Development Executive,$32225,$64152,$127711
Senior Business Development,$57377,$101887,$180923
District Leader,$41060,$71975,$126165
Inventory Clerk,$47178,$59960,$76204
Financial Counselor,$44910,$59282,$78254
Recovery Specialist,$47909,$69790,$101664
Collections Analyst,$30922,$42163,$57491
Sales Project Manager,$38925,$80702,$167317
Rock Climbing Instructor,$16827,$32110,$61273
Housekeeping Manager,$64692,$74453,$87699
Youth Intern,$27051,$44024,$71646
Procurement Assistant,$29680,$44540,$66840
Accounts Payable Assistant,$28526,$38696,$52491
Main Propulsion Assistant,$38697,$59140,$90385
Port Engineer,$59731,$100443,$168903
Sales Merchandiser,$27271,$35087,$45143
Paraprofessional Educator,$26589,$39416,$58432
Licensed Associate Real Estate Broker,$35002,$68647,$134631
Home Inspector,$74880,$135646,$245723
Assistant Center Manager,$37270,$61031,$99940
Manicurist,$23113,$53768,$125076
Customer Business Lead,$37706,$76476,$155109
Art Manager,$17457,$36807,$77603
Founding Partner,$37376,$55021,$80996
Export Compliance Officer,$41247,$71211,$122942
Marketplace Manager,$36645,$69752,$132772
Claims Associate,$24498,$29623,$35821
English Professor,$48472,$98149,$198737
Radio Personality,$27809,$37530,$50649
Lead Sales Consultant,$52569,$92987,$164480
Residential Counselor,$33855,$42763,$54014
Delivery Coordinator,$32031,$41956,$54958
Junior Developer,$43532,$66367,$101179
Registered Client Associate,$33039,$68164,$140630
Senior Client Service Associate,$56297,$74487,$98555
Americorps Volunteer,$18626,$37528,$102022
Physical Therapy Aide,$23759,$46232,$89962
Service Cashier,$23445,$31971,$43598
Web Specialist,$37327,$54982,$80986
Housing Manager,$38763,$50598,$66046
Head Instructor,$16827,$32110,$61273
Assistant Cheerleading Coach,$25067,$40922,$66805
Automated Logistical Specialist,$34237,$58372,$99521
Maintenance Mechanic,$42200,$56449,$75508
Legal Counsel,$56664,$106009,$198325
Community Sales Assistant,$25683,$37544,$54882
Loan Officer Assistant,$80329,$181890,$411854
Product Consultant,$48509,$83835,$144888
Sales Operations Specialist,$33863,$55808,$91974
Food Technologist,$32543,$47975,$70723
Assistant Visual Manager,$63929,$93506,$136768
Member Services Team Member,$36919,$51291,$71257
Staff Manager,$79481,$106042,$141479
Physical Therapist Aide,$23759,$46232,$89962
Campaign Director,$53306,$99247,$184783
Document Control Specialist,$31873,$53079,$88395
Accounts Receivable Associate,$43117,$58390,$79073
Design Team Lead,$61528,$103284,$173377
Vice Principal,$55158,$82424,$123168
Customer Service Lead,$35456,$59863,$101072
Sales Team Manager,$40897,$82482,$166349
Private Client Banker,$21801,$46695,$100014
Business Relations Representative,$31178,$49677,$79153
Senior Analytics Analytics,$60374,$97874,$158667
Relations Specialist,$30159,$43207,$61900
Dental Laboratory Technician,$52305,$81429,$126769
Carhop,$16727,$23986,$39170
Call Representative,$33117,$45295,$61950
Recording Artist,$27773,$43149,$67037
Medical Records Specialist,$27773,$43149,$67037
Financial Associate,$35868,$79540,$176386
Loan Originator,$82241,$189682,$437484
Product Development Assistant,$49451,$61342,$77549
Salesforce Administrator,$63639,$89344,$125432
Chief Customer Officer,$79405,$134371,$227386
System Analyst,$64902,$93021,$135927
Commercial Loan Assistant,$46281,$63609,$87425
Commercial Credit Analyst,$49201,$73653,$110256
Stocker,$26911,$36623,$49839
Superintendent,$76184,$107747,$155134
Paramedic,$31294,$46032,$67710
District Service Manager,$46636,$69687,$104131
Sales Department Assistant,$30815,$42673,$59096
Fuel Attendant,$23742,$33613,$47587
French Teacher,$56929,$80791,$114657
Customer Relations Representative,$31178,$49677,$79153
Lease Administrator,$41611,$57780,$80231
Managing Member,$35549,$58895,$97574
Quality Assurance Coordinator,$44912,$67101,$100251
Ticket Agent,$31508,$44061,$61615
Fulfillment Manager,$39456,$65663,$109275
Implementation Manager,$41103,$68898,$115487
Senior Director Of Business Development,$92549,$153953,$256096
Publicity Director,$53306,$99247,$184783
Customer Advocate,$51840,$66792,$86057
Master Control Operator,$27538,$39934,$57910
Loan Closer,$47669,$81345,$138813
Dispatcher,$49553,$65824,$87436
Associate Operations Manager,$43669,$72020,$118758
Modular Product Management Director,$133654,$187045,$266677
Acquisition Director,$60066,$101540,$171651
National Sales Director,$53302,$99098,$184240
Human Resources Office Administrator,$40827,$59923,$87950
Operations Team Lead,$50037,$89234,$159136
Accounting Executive,$43174,$61809,$88488
Spa Coordinator,$29887,$37876,$48001
Video Director,$53306,$99247,$184783
Lead Lifeguard,$38797,$57626,$75731
Secondary Teacher,$34675,$57531,$95453
Assistant Tour Manager,$33100,$44858,$60793
Merchandise Execution Associate,$27676,$35309,$45048
Concept Designer,$41343,$68817,$114548
Full Stack Web Developer,$77285,$121704,$191652
Fraud Detection Analyst,$24087,$40011,$66463
Placement Manager,$36645,$69752,$132772
Breakfast Attendant,$24817,$30887,$38441
Trade Marketing Coordinator,$36073,$51337,$73060
Business Program Manager,$43378,$77229,$137498
Church Musician,$32124,$52650,$86291
Programme Director,$38884,$67200,$116135
Director Of Consulting Services,$42815,$71726,$120158
Student Government President,$74597,$138811,$258302
Sergeant,$31153,$47205,$71527
Analytics Coordinator,$77208,$113764,$167629
Staff Nurse,$60382,$93847,$145857
Pharmacy Intern,$27234,$41193,$62305
Pharmacy Extern,$18990,$29021,$44352
Summer Camp Supervisor,$24994,$36709,$53915
Title Assistant,$38697,$59140,$90385
School Counseling Intern,$16899,$35061,$103764
Recruitment Advisor,$32421,$56768,$99398
Automotive Applications Engineer,$57673,$85930,$128032
Executive Host,$29147,$43368,$64527
Print Analyst,$46041,$72159,$113095
National Key Accounts Manager,$35906,$65864,$120816
Brand Partner,$37376,$55021,$80996
Partner Manager,$83683,$119014,$182971
Freelance Copyeditor,$41282,$63012,$96179
Salesforce Consultant,$76593,$111886,$163443
Orthodontic Assistant,$36751,$49543,$66787
Assistant Construction Manager,$54473,$85545,$134341
Executive Sales Representative,$36393,$71876,$141952
Finance Operations Analyst,$42081,$67946,$109708
Procurement Agent,$29680,$44540,$66840
Front End Web Developer,$67844,$112408,$186246
Government Contracts Specialist,$45969,$71958,$112640
Group Facilitator,$21606,$49340,$112673
Travel Sales Consultant,$51002,$76343,$114276
Head Cheerleading Coach,$25067,$40922,$66805
Marketing Services Director,$52313,$93367,$166637
Network Manager,$53958,$88579,$145413
Digital Marketing Account Manager,$36510,$62773,$107929
